Commodity,Date,Unit,Minimum,Maximum,Average
Potato Red,2013-10-24,kg,50.0,55.0,52.5
Potato White,2013-10-24,kg,40.0,45.0,42.5
Onion Dry (Indian),2013-10-24,kg,115.0,120.0,117.5
Carrot(Local),2013-10-24,kg,80.0,90.0,85.0
Cabbage(Local),2013-10-24,kg,30.0,35.0,32.5
Cauli Local,2013-10-24,kg,40.0,50.0,45.0
Raddish Red,2013-10-24,kg,40.0,45.0,42.5
Raddish White(Local),2013-10-24,kg,35.0,40.0,37.5
Brinjal Long,2013-10-24,kg,50.0,55.0,52.5
Green Peas,2013-10-24,kg,90.0,100.0,95.0
French Bean(Local),2013-10-24,kg,60.0,65.0,62.5
Sword Bean,2013-10-24,kg,45.0,50.0,47.5
Soyabean Green,2013-10-24,kg,45.0,50.0,47.5
Bitter Gourd,2013-10-24,kg,90.0,100.0,95.0
Bottle Gourd,2013-10-24,kg,25.0,30.0,27.5
Pointed Gourd(Local),2013-10-24,kg,60.0,64.0,62.0
Smooth Gourd,2013-10-24,kg,45.0,50.0,47.5
Pumpkin,2013-10-24,kg,15.0,16.0,15.5
Squash(Long),2013-10-24,kg,28.0,30.0,29.0
Turnip,2013-10-24,kg,45.0,50.0,47.5
Barela,2013-10-24,kg,30.0,35.0,32.5
Arum,2013-10-24,kg,38.0,40.0,39.0
Christophine,2013-10-24,kg,10.0,12.0,11.0
Brd Leaf Mustard,2013-10-24,kg,30.0,35.0,32.5
Spinach Leaf,2013-10-24,kg,30.0,35.0,32.5
Cress Leaf,2013-10-24,kg,30.0,35.0,32.5
Mustard Leaf,2013-10-24,kg,25.0,30.0,27.5
Fenugreek Leaf,2013-10-24,kg,55.0,60.0,57.5
Onion Green,2013-10-24,kg,60.0,70.0,65.0
Bakula,2013-10-24,kg,70.0,80.0,75.0
Mushroom(Kanya),2013-10-24,kg,130.0,140.0,135.0
Asparagus,2013-10-24,kg,180.0,200.0,190.0
Brocauli,2013-10-24,kg,80.0,90.0,85.0
Sugarbeet,2013-10-24,kg,50.0,60.0,55.0
Red Cabbbage,2013-10-24,kg,140.0,150.0,145.0
Lettuce,2013-10-24,kg,45.0,50.0,47.5
Celery,2013-10-24,kg,120.0,130.0,125.0
Parseley,2013-10-24,kg,140.0,150.0,145.0
Fennel Leaf,2013-10-24,kg,55.0,60.0,57.5
Mint,2013-10-24,kg,120.0,130.0,125.0
Turnip A,2013-10-24,kg,45.0,50.0,47.5
Tamarind,2013-10-24,kg,75.0,80.0,77.5
Bamboo Shoot,2013-10-24,kg,50.0,60.0,55.0
Tofu,2013-10-24,kg,60.0,70.0,65.0
Gundruk,2013-10-24,kg,180.0,200.0,190.0
Apple(Jholey),2013-10-24,kg,130.0,140.0,135.0
Banana,2013-10-24,per dozen,50.0,60.0,55.0
Lime,2013-10-24,kg,300.0,400.0,350.0
Pomegranate,2013-10-24,kg,250.0,260.0,255.0
Orange(Nepali),2013-10-24,kg,80.0,90.0,85.0
Water Melon(Green),2013-10-24,kg,45.0,50.0,47.5
Sweet Orange,2013-10-24,kg,80.0,90.0,85.0
Pineapple,2013-10-24,per piece,90.0,100.0,95.0
Cucumber(Local),2013-10-24,kg,60.0,70.0,65.0
Papaya(Nepali),2013-10-24,kg,50.0,60.0,55.0
Guava,2013-10-24,kg,35.0,40.0,37.5
Mombin,2013-10-24,kg,28.0,30.0,29.0
Sugarcane,2013-10-24,per piece,60.0,70.0,65.0
Ginger,2013-10-24,kg,140.0,150.0,145.0
Chilli Dry,2013-10-24,kg,160.0,170.0,165.0
Chilli Green,2013-10-24,kg,80.0,90.0,85.0
Capsicum,2013-10-24,kg,200.0,250.0,225.0
Garlic Green,2013-10-24,kg,70.0,80.0,75.0
Coriander Green,2013-10-24,kg,70.0,80.0,75.0
Garlic Dry Chinese,2013-10-24,kg,100.0,105.0,102.5
Garlic Dry Nepali,2013-10-24,kg,80.0,90.0,85.0
Clive Dry,2013-10-24,kg,110.0,120.0,115.0
Fish Fresh,2013-10-24,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-10-25,kg,55.0,60.0,57.5
Tomato Small(Local),2013-10-25,kg,35.0,45.0,40.0
Potato Red,2013-10-25,kg,52.0,55.0,53.5
Potato White,2013-10-25,kg,48.0,50.0,49.0
Onion Dry (Indian),2013-10-25,kg,120.0,125.0,122.5
Carrot(Local),2013-10-25,kg,80.0,90.0,85.0
Cabbage(Local),2013-10-25,kg,25.0,30.0,27.5
Cauli Local,2013-10-25,kg,45.0,55.0,50.0
Raddish Red,2013-10-25,kg,45.0,50.0,47.5
Raddish White(Local),2013-10-25,kg,40.0,45.0,42.5
Brinjal Long,2013-10-25,kg,45.0,50.0,47.5
Cow pea(Long),2013-10-25,kg,70.0,80.0,75.0
Green Peas,2013-10-25,kg,90.0,100.0,95.0
French Bean(Local),2013-10-25,kg,65.0,70.0,67.5
Sword Bean,2013-10-25,kg,50.0,55.0,52.5
Soyabean Green,2013-10-25,kg,50.0,55.0,52.5
Bitter Gourd,2013-10-25,kg,80.0,90.0,85.0
Bottle Gourd,2013-10-25,kg,30.0,35.0,32.5
Pointed Gourd(Local),2013-10-25,kg,62.0,68.0,65.0
Smooth Gourd,2013-10-25,kg,45.0,50.0,47.5
Pumpkin,2013-10-25,kg,15.0,18.0,16.5
Squash(Long),2013-10-25,kg,25.0,30.0,27.5
Turnip,2013-10-25,kg,55.0,60.0,57.5
Barela,2013-10-25,kg,25.0,30.0,27.5
Arum,2013-10-25,kg,35.0,40.0,37.5
Christophine,2013-10-25,kg,10.0,12.0,11.0
Brd Leaf Mustard,2013-10-25,kg,30.0,35.0,32.5
Spinach Leaf,2013-10-25,kg,30.0,35.0,32.5
Cress Leaf,2013-10-25,kg,30.0,35.0,32.5
Mustard Leaf,2013-10-25,kg,25.0,30.0,27.5
Fenugreek Leaf,2013-10-25,kg,55.0,60.0,57.5
Onion Green,2013-10-25,kg,70.0,75.0,72.5
Bakula,2013-10-25,kg,70.0,80.0,75.0
Mushroom(Kanya),2013-10-25,kg,140.0,150.0,145.0
Asparagus,2013-10-25,kg,180.0,200.0,190.0
Brocauli,2013-10-25,kg,70.0,80.0,75.0
Sugarbeet,2013-10-25,kg,50.0,60.0,55.0
Red Cabbbage,2013-10-25,kg,90.0,100.0,95.0
Lettuce,2013-10-25,kg,55.0,60.0,57.5
Celery,2013-10-25,kg,120.0,130.0,125.0
Parseley,2013-10-25,kg,140.0,150.0,145.0
Fennel Leaf,2013-10-25,kg,50.0,55.0,52.5
Mint,2013-10-25,kg,120.0,130.0,125.0
Turnip A,2013-10-25,kg,45.0,50.0,47.5
Tamarind,2013-10-25,kg,70.0,80.0,75.0
Bamboo Shoot,2013-10-25,kg,55.0,60.0,57.5
Tofu,2013-10-25,kg,60.0,70.0,65.0
Gundruk,2013-10-25,kg,180.0,200.0,190.0
Apple(Jholey),2013-10-25,kg,130.0,140.0,135.0
Banana,2013-10-25,per dozen,50.0,60.0,55.0
Lime,2013-10-25,kg,300.0,400.0,350.0
Pomegranate,2013-10-25,kg,250.0,300.0,275.0
Orange(Nepali),2013-10-25,kg,70.0,80.0,75.0
Water Melon(Green),2013-10-25,kg,50.0,55.0,52.5
Sweet Orange,2013-10-25,kg,70.0,80.0,75.0
Pineapple,2013-10-25,per piece,80.0,90.0,85.0
Cucumber(Local),2013-10-25,kg,60.0,70.0,65.0
Lemon,2013-10-25,kg,30.0,35.0,32.5
Papaya(Nepali),2013-10-25,kg,55.0,60.0,57.5
Guava,2013-10-25,kg,35.0,40.0,37.5
Mombin,2013-10-25,kg,28.0,30.0,29.0
Sugarcane,2013-10-25,per piece,70.0,80.0,75.0
Ginger,2013-10-25,kg,110.0,120.0,115.0
Chilli Dry,2013-10-25,kg,160.0,170.0,165.0
Chilli Green,2013-10-25,kg,70.0,80.0,75.0
Capsicum,2013-10-25,kg,220.0,250.0,235.0
Garlic Green,2013-10-25,kg,75.0,80.0,77.5
Coriander Green,2013-10-25,kg,70.0,80.0,75.0
Garlic Dry Chinese,2013-10-25,kg,100.0,105.0,102.5
Garlic Dry Nepali,2013-10-25,kg,70.0,80.0,75.0
Clive Dry,2013-10-25,kg,110.0,120.0,115.0
Fish Fresh,2013-10-25,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-10-27,kg,60.0,65.0,62.5
Tomato Small(Local),2013-10-27,kg,45.0,50.0,47.5
Potato Red,2013-10-27,kg,52.0,55.0,53.5
Potato White,2013-10-27,kg,45.0,48.0,46.5
Onion Dry (Indian),2013-10-27,kg,110.0,120.0,115.0
Carrot(Local),2013-10-27,kg,80.0,90.0,85.0
Cabbage(Local),2013-10-27,kg,25.0,30.0,27.5
Cauli Local,2013-10-27,kg,50.0,60.0,55.0
Raddish Red,2013-10-27,kg,45.0,50.0,47.5
Raddish White(Local),2013-10-27,kg,35.0,40.0,37.5
Brinjal Long,2013-10-27,kg,55.0,60.0,57.5
Brinjal Round,2013-10-27,kg,60.0,70.0,65.0
Cow pea(Long),2013-10-27,kg,100.0,110.0,105.0
Green Peas,2013-10-27,kg,100.0,110.0,105.0
French Bean(Local),2013-10-27,kg,55.0,65.0,60.0
Sword Bean,2013-10-27,kg,50.0,55.0,52.5
Soyabean Green,2013-10-27,kg,50.0,55.0,52.5
Bitter Gourd,2013-10-27,kg,90.0,100.0,95.0
Bottle Gourd,2013-10-27,kg,60.0,70.0,65.0
Pointed Gourd(Local),2013-10-27,kg,60.0,65.0,62.5
Pumpkin,2013-10-27,kg,15.0,18.0,16.5
Squash(Long),2013-10-27,kg,30.0,35.0,32.5
Turnip,2013-10-27,kg,45.0,50.0,47.5
Barela,2013-10-27,kg,25.0,30.0,27.5
Arum,2013-10-27,kg,35.0,40.0,37.5
Christophine,2013-10-27,kg,10.0,15.0,12.5
Brd Leaf Mustard,2013-10-27,kg,30.0,35.0,32.5
Spinach Leaf,2013-10-27,kg,30.0,35.0,32.5
Cress Leaf,2013-10-27,kg,30.0,35.0,32.5
Mustard Leaf,2013-10-27,kg,25.0,30.0,27.5
Fenugreek Leaf,2013-10-27,kg,60.0,65.0,62.5
Onion Green,2013-10-27,kg,70.0,80.0,75.0
Yam,2013-10-27,kg,48.0,50.0,49.0
Mushroom(Kanya),2013-10-27,kg,130.0,140.0,135.0
Asparagus,2013-10-27,kg,180.0,200.0,190.0
Brocauli,2013-10-27,kg,80.0,90.0,85.0
Sugarbeet,2013-10-27,kg,50.0,60.0,55.0
Red Cabbbage,2013-10-27,kg,90.0,100.0,95.0
Lettuce,2013-10-27,kg,55.0,60.0,57.5
Celery,2013-10-27,kg,120.0,130.0,125.0
Parseley,2013-10-27,kg,140.0,150.0,145.0
Fennel Leaf,2013-10-27,kg,55.0,60.0,57.5
Mint,2013-10-27,kg,120.0,130.0,125.0
Turnip A,2013-10-27,kg,55.0,60.0,57.5
Tamarind,2013-10-27,kg,70.0,80.0,75.0
Bamboo Shoot,2013-10-27,kg,50.0,60.0,55.0
Tofu,2013-10-27,kg,60.0,70.0,65.0
Gundruk,2013-10-27,kg,180.0,200.0,190.0
Apple(Jholey),2013-10-27,kg,130.0,140.0,135.0
Banana,2013-10-27,per dozen,50.0,60.0,55.0
Lime,2013-10-27,kg,300.0,400.0,350.0
Pomegranate,2013-10-27,kg,250.0,260.0,255.0
Orange(Nepali),2013-10-27,kg,70.0,80.0,75.0
Water Melon(Green),2013-10-27,kg,45.0,50.0,47.5
Sweet Orange,2013-10-27,kg,70.0,80.0,75.0
Pineapple,2013-10-27,per piece,90.0,100.0,95.0
Cucumber(Local),2013-10-27,kg,70.0,80.0,75.0
Lemon,2013-10-27,kg,30.0,35.0,32.5
Papaya(Nepali),2013-10-27,kg,50.0,60.0,55.0
Guava,2013-10-27,kg,35.0,40.0,37.5
Mombin,2013-10-27,kg,25.0,28.0,26.5
Sugarcane,2013-10-27,per piece,70.0,80.0,75.0
Ginger,2013-10-27,kg,110.0,120.0,115.0
Chilli Dry,2013-10-27,kg,160.0,170.0,165.0
Chilli Green,2013-10-27,kg,70.0,80.0,75.0
Capsicum,2013-10-27,kg,190.0,200.0,195.0
Garlic Green,2013-10-27,kg,75.0,80.0,77.5
Coriander Green,2013-10-27,kg,130.0,140.0,135.0
Garlic Dry Chinese,2013-10-27,kg,95.0,100.0,97.5
Garlic Dry Nepali,2013-10-27,kg,70.0,80.0,75.0
Clive Dry,2013-10-27,kg,110.0,120.0,115.0
Fish Fresh,2013-10-27,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-10-28,kg,50.0,60.0,55.0
Tomato Small(Local),2013-10-28,kg,45.0,50.0,47.5
Potato Red,2013-10-28,kg,50.0,52.0,51.0
Potato White,2013-10-28,kg,45.0,47.0,46.0
Onion Dry (Indian),2013-10-28,kg,100.0,105.0,102.5
Carrot(Local),2013-10-28,kg,80.0,90.0,85.0
Cabbage(Local),2013-10-28,kg,28.0,32.0,30.0
Cauli Local,2013-10-28,kg,50.0,60.0,55.0
Raddish Red,2013-10-28,kg,55.0,60.0,57.5
Raddish White(Local),2013-10-28,kg,30.0,35.0,32.5
Brinjal Long,2013-10-28,kg,50.0,55.0,52.5
Brinjal Round,2013-10-28,kg,55.0,60.0,57.5
Cow pea(Long),2013-10-28,kg,75.0,80.0,77.5
Green Peas,2013-10-28,kg,90.0,100.0,95.0
French Bean(Local),2013-10-28,kg,55.0,60.0,57.5
Sword Bean,2013-10-28,kg,80.0,90.0,85.0
Soyabean Green,2013-10-28,kg,50.0,55.0,52.5
Bitter Gourd,2013-10-28,kg,90.0,100.0,95.0
Bottle Gourd,2013-10-28,kg,60.0,70.0,65.0
Pointed Gourd(Local),2013-10-28,kg,60.0,65.0,62.5
Pumpkin,2013-10-28,kg,18.0,20.0,19.0
Squash(Long),2013-10-28,kg,34.0,36.0,35.0
Turnip,2013-10-28,kg,55.0,60.0,57.5
Okara,2013-10-28,kg,100.0,110.0,105.0
Barela,2013-10-28,kg,20.0,25.0,22.5
Arum,2013-10-28,kg,35.0,40.0,37.5
Christophine,2013-10-28,kg,10.0,12.0,11.0
Brd Leaf Mustard,2013-10-28,kg,45.0,50.0,47.5
Spinach Leaf,2013-10-28,kg,45.0,50.0,47.5
Cress Leaf,2013-10-28,kg,45.0,50.0,47.5
Mustard Leaf,2013-10-28,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-10-28,kg,75.0,80.0,77.5
Onion Green,2013-10-28,kg,90.0,100.0,95.0
Bakula,2013-10-28,kg,90.0,100.0,95.0
Yam,2013-10-28,kg,38.0,40.0,39.0
Mushroom(Kanya),2013-10-28,kg,120.0,140.0,130.0
Brocauli,2013-10-28,kg,80.0,90.0,85.0
Sugarbeet,2013-10-28,kg,50.0,60.0,55.0
Red Cabbbage,2013-10-28,kg,90.0,100.0,95.0
Lettuce,2013-10-28,kg,55.0,60.0,57.5
Celery,2013-10-28,kg,120.0,130.0,125.0
Parseley,2013-10-28,kg,140.0,150.0,145.0
Fennel Leaf,2013-10-28,kg,55.0,60.0,57.5
Mint,2013-10-28,kg,120.0,130.0,125.0
Turnip A,2013-10-28,kg,55.0,60.0,57.5
Tamarind,2013-10-28,kg,70.0,80.0,75.0
Bamboo Shoot,2013-10-28,kg,50.0,55.0,52.5
Tofu,2013-10-28,kg,60.0,70.0,65.0
Gundruk,2013-10-28,kg,180.0,200.0,190.0
Apple(Jholey),2013-10-28,kg,130.0,140.0,135.0
Banana,2013-10-28,per dozen,50.0,60.0,55.0
Lime,2013-10-28,kg,300.0,400.0,350.0
Pomegranate,2013-10-28,kg,270.0,280.0,275.0
Orange(Nepali),2013-10-28,kg,70.0,80.0,75.0
Water Melon(Green),2013-10-28,kg,50.0,60.0,55.0
Sweet Orange,2013-10-28,kg,60.0,70.0,65.0
Pineapple,2013-10-28,per piece,90.0,100.0,95.0
Cucumber(Local),2013-10-28,kg,70.0,80.0,75.0
Lemon,2013-10-28,kg,35.0,40.0,37.5
Papaya(Nepali),2013-10-28,kg,50.0,60.0,55.0
Guava,2013-10-28,kg,35.0,40.0,37.5
Mombin,2013-10-28,kg,25.0,30.0,27.5
Sugarcane,2013-10-28,per piece,70.0,80.0,75.0
Ginger,2013-10-28,kg,100.0,120.0,110.0
Chilli Dry,2013-10-28,kg,160.0,170.0,165.0
Chilli Green,2013-10-28,kg,60.0,70.0,65.0
Capsicum,2013-10-28,kg,140.0,150.0,145.0
Garlic Green,2013-10-28,kg,80.0,90.0,85.0
Coriander Green,2013-10-28,kg,100.0,120.0,110.0
Garlic Dry Chinese,2013-10-28,kg,90.0,100.0,95.0
Garlic Dry Nepali,2013-10-28,kg,70.0,80.0,75.0
Clive Dry,2013-10-28,kg,110.0,120.0,115.0
Fish Fresh,2013-10-28,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-10-29,kg,50.0,60.0,55.0
Tomato Small(Local),2013-10-29,kg,45.0,55.0,50.0
Potato Red,2013-10-29,kg,45.0,50.0,47.5
Potato White,2013-10-29,kg,40.0,45.0,42.5
Onion Dry (Indian),2013-10-29,kg,100.0,105.0,102.5
Carrot(Local),2013-10-29,kg,90.0,100.0,95.0
Cabbage(Local),2013-10-29,kg,35.0,40.0,37.5
Cauli Local,2013-10-29,kg,45.0,55.0,50.0
Raddish Red,2013-10-29,kg,35.0,40.0,37.5
Raddish White(Local),2013-10-29,kg,30.0,35.0,32.5
Brinjal Long,2013-10-29,kg,55.0,60.0,57.5
Brinjal Round,2013-10-29,kg,55.0,60.0,57.5
Cow pea(Long),2013-10-29,kg,100.0,110.0,105.0
Green Peas,2013-10-29,kg,100.0,120.0,110.0
French Bean(Local),2013-10-29,kg,50.0,60.0,55.0
Sword Bean,2013-10-29,kg,80.0,90.0,85.0
Soyabean Green,2013-10-29,kg,50.0,55.0,52.5
Bitter Gourd,2013-10-29,kg,90.0,100.0,95.0
Bottle Gourd,2013-10-29,kg,70.0,80.0,75.0
Pointed Gourd(Local),2013-10-29,kg,55.0,60.0,57.5
Pumpkin,2013-10-29,kg,18.0,20.0,19.0
Squash(Long),2013-10-29,kg,30.0,35.0,32.5
Turnip,2013-10-29,kg,45.0,50.0,47.5
Okara,2013-10-29,kg,110.0,120.0,115.0
Barela,2013-10-29,kg,20.0,25.0,22.5
Arum,2013-10-29,kg,35.0,40.0,37.5
Christophine,2013-10-29,kg,10.0,12.0,11.0
Brd Leaf Mustard,2013-10-29,kg,45.0,50.0,47.5
Spinach Leaf,2013-10-29,kg,45.0,50.0,47.5
Cress Leaf,2013-10-29,kg,45.0,50.0,47.5
Mustard Leaf,2013-10-29,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-10-29,kg,75.0,80.0,77.5
Onion Green,2013-10-29,kg,80.0,90.0,85.0
Bakula,2013-10-29,kg,80.0,90.0,85.0
Yam,2013-10-29,kg,45.0,50.0,47.5
Mushroom(Kanya),2013-10-29,kg,130.0,140.0,135.0
Asparagus,2013-10-29,kg,350.0,400.0,375.0
Brocauli,2013-10-29,kg,90.0,100.0,95.0
Sugarbeet,2013-10-29,kg,60.0,70.0,65.0
Red Cabbbage,2013-10-29,kg,90.0,100.0,95.0
Lettuce,2013-10-29,kg,55.0,60.0,57.5
Celery,2013-10-29,kg,120.0,130.0,125.0
Parseley,2013-10-29,kg,140.0,150.0,145.0
Fennel Leaf,2013-10-29,kg,55.0,60.0,57.5
Mint,2013-10-29,kg,120.0,130.0,125.0
Turnip A,2013-10-29,kg,60.0,75.0,67.5
Tamarind,2013-10-29,kg,70.0,80.0,75.0
Bamboo Shoot,2013-10-29,kg,50.0,60.0,55.0
Tofu,2013-10-29,kg,60.0,70.0,65.0
Gundruk,2013-10-29,kg,180.0,200.0,190.0
Apple(Jholey),2013-10-29,kg,130.0,140.0,135.0
Banana,2013-10-29,per dozen,50.0,60.0,55.0
Lime,2013-10-29,kg,300.0,400.0,350.0
Pomegranate,2013-10-29,kg,270.0,280.0,275.0
Orange(Nepali),2013-10-29,kg,70.0,80.0,75.0
Water Melon(Green),2013-10-29,kg,50.0,55.0,52.5
Sweet Orange,2013-10-29,kg,70.0,80.0,75.0
Pineapple,2013-10-29,per piece,80.0,90.0,85.0
Cucumber(Local),2013-10-29,kg,60.0,70.0,65.0
Lemon,2013-10-29,kg,30.0,35.0,32.5
Papaya(Nepali),2013-10-29,kg,50.0,60.0,55.0
Guava,2013-10-29,kg,35.0,40.0,37.5
Mombin,2013-10-29,kg,25.0,30.0,27.5
Sugarcane,2013-10-29,per piece,70.0,80.0,75.0
Ginger,2013-10-29,kg,110.0,120.0,115.0
Chilli Dry,2013-10-29,kg,160.0,170.0,165.0
Chilli Green,2013-10-29,kg,60.0,70.0,65.0
Capsicum,2013-10-29,kg,120.0,130.0,125.0
Garlic Green,2013-10-29,kg,80.0,90.0,85.0
Coriander Green,2013-10-29,kg,90.0,100.0,95.0
Garlic Dry Chinese,2013-10-29,kg,90.0,100.0,95.0
Garlic Dry Nepali,2013-10-29,kg,80.0,90.0,85.0
Clive Dry,2013-10-29,kg,110.0,120.0,115.0
Fish Fresh,2013-10-29,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-10-30,kg,55.0,60.0,57.5
Tomato Small(Local),2013-10-30,kg,45.0,50.0,47.5
Potato Red,2013-10-30,kg,40.0,45.0,42.5
Potato White,2013-10-30,kg,38.0,40.0,39.0
Onion Dry (Indian),2013-10-30,kg,85.0,95.0,90.0
Carrot(Local),2013-10-30,kg,90.0,100.0,95.0
Cabbage(Local),2013-10-30,kg,34.0,38.0,36.0
Cauli Local,2013-10-30,kg,50.0,60.0,55.0
Raddish Red,2013-10-30,kg,35.0,40.0,37.5
Raddish White(Local),2013-10-30,kg,25.0,30.0,27.5
Brinjal Long,2013-10-30,kg,55.0,60.0,57.5
Brinjal Round,2013-10-30,kg,55.0,60.0,57.5
Cow pea(Long),2013-10-30,kg,75.0,80.0,77.5
Green Peas,2013-10-30,kg,100.0,110.0,105.0
French Bean(Local),2013-10-30,kg,50.0,55.0,52.5
Sword Bean,2013-10-30,kg,90.0,100.0,95.0
Soyabean Green,2013-10-30,kg,50.0,55.0,52.5
Bitter Gourd,2013-10-30,kg,80.0,90.0,85.0
Bottle Gourd,2013-10-30,kg,50.0,60.0,55.0
Pointed Gourd(Local),2013-10-30,kg,55.0,60.0,57.5
Smooth Gourd,2013-10-30,kg,100.0,110.0,105.0
Pumpkin,2013-10-30,kg,18.0,20.0,19.0
Squash(Long),2013-10-30,kg,40.0,50.0,45.0
Turnip,2013-10-30,kg,45.0,50.0,47.5
Okara,2013-10-30,kg,100.0,110.0,105.0
Barela,2013-10-30,kg,20.0,25.0,22.5
Arum,2013-10-30,kg,35.0,40.0,37.5
Christophine,2013-10-30,kg,10.0,12.0,11.0
Brd Leaf Mustard,2013-10-30,kg,45.0,50.0,47.5
Spinach Leaf,2013-10-30,kg,45.0,50.0,47.5
Cress Leaf,2013-10-30,kg,45.0,50.0,47.5
Mustard Leaf,2013-10-30,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-10-30,kg,55.0,60.0,57.5
Onion Green,2013-10-30,kg,70.0,80.0,75.0
Yam,2013-10-30,kg,55.0,60.0,57.5
Mushroom(Kanya),2013-10-30,kg,130.0,140.0,135.0
Asparagus,2013-10-30,kg,350.0,400.0,375.0
Brocauli,2013-10-30,kg,80.0,90.0,85.0
Sugarbeet,2013-10-30,kg,60.0,70.0,65.0
Red Cabbbage,2013-10-30,kg,90.0,100.0,95.0
Lettuce,2013-10-30,kg,55.0,60.0,57.5
Celery,2013-10-30,kg,120.0,130.0,125.0
Parseley,2013-10-30,kg,140.0,150.0,145.0
Fennel Leaf,2013-10-30,kg,55.0,60.0,57.5
Mint,2013-10-30,kg,120.0,130.0,125.0
Turnip A,2013-10-30,kg,55.0,60.0,57.5
Tamarind,2013-10-30,kg,70.0,80.0,75.0
Bamboo Shoot,2013-10-30,kg,50.0,60.0,55.0
Tofu,2013-10-30,kg,60.0,70.0,65.0
Gundruk,2013-10-30,kg,180.0,200.0,190.0
Apple(Jholey),2013-10-30,kg,130.0,140.0,135.0
Banana,2013-10-30,per dozen,50.0,60.0,55.0
Lime,2013-10-30,kg,300.0,400.0,350.0
Pomegranate,2013-10-30,kg,280.0,290.0,285.0
Orange(Nepali),2013-10-30,kg,70.0,80.0,75.0
Water Melon(Green),2013-10-30,kg,40.0,50.0,45.0
Sweet Orange,2013-10-30,kg,60.0,70.0,65.0
Pineapple,2013-10-30,per piece,90.0,100.0,95.0
Cucumber(Local),2013-10-30,kg,60.0,70.0,65.0
Lemon,2013-10-30,kg,30.0,35.0,32.5
Papaya(Nepali),2013-10-30,kg,60.0,70.0,65.0
Guava,2013-10-30,kg,35.0,40.0,37.5
Mombin,2013-10-30,kg,25.0,30.0,27.5
Sugarcane,2013-10-30,per piece,70.0,80.0,75.0
Ginger,2013-10-30,kg,110.0,120.0,115.0
Chilli Dry,2013-10-30,kg,160.0,170.0,165.0
Chilli Green,2013-10-30,kg,50.0,60.0,55.0
Capsicum,2013-10-30,kg,100.0,110.0,105.0
Garlic Green,2013-10-30,kg,75.0,80.0,77.5
Coriander Green,2013-10-30,kg,80.0,90.0,85.0
Garlic Dry Chinese,2013-10-30,kg,90.0,100.0,95.0
Garlic Dry Nepali,2013-10-30,kg,70.0,80.0,75.0
Clive Dry,2013-10-30,kg,110.0,120.0,115.0
Fish Fresh,2013-10-30,kg,220.0,240.0,230.0
Tomato Big(Nepali),2013-10-31,kg,55.0,60.0,57.5
Tomato Small(Local),2013-10-31,kg,45.0,50.0,47.5
Potato Red,2013-10-31,kg,40.0,45.0,42.5
Potato White,2013-10-31,kg,38.0,40.0,39.0
Onion Dry (Indian),2013-10-31,kg,90.0,95.0,92.5
Carrot(Local),2013-10-31,kg,90.0,100.0,95.0
Cabbage(Local),2013-10-31,kg,30.0,35.0,32.5
Cauli Local,2013-10-31,kg,55.0,60.0,57.5
Raddish Red,2013-10-31,kg,35.0,40.0,37.5
Raddish White(Local),2013-10-31,kg,25.0,30.0,27.5
Brinjal Long,2013-10-31,kg,55.0,60.0,57.5
Brinjal Round,2013-10-31,kg,55.0,60.0,57.5
Cow pea(Long),2013-10-31,kg,75.0,80.0,77.5
Green Peas,2013-10-31,kg,90.0,100.0,95.0
French Bean(Local),2013-10-31,kg,50.0,60.0,55.0
Sword Bean,2013-10-31,kg,90.0,100.0,95.0
Soyabean Green,2013-10-31,kg,55.0,60.0,57.5
Bitter Gourd,2013-10-31,kg,70.0,80.0,75.0
Bottle Gourd,2013-10-31,kg,55.0,60.0,57.5
Pointed Gourd(Local),2013-10-31,kg,58.0,60.0,59.0
Pumpkin,2013-10-31,kg,18.0,20.0,19.0
Squash(Long),2013-10-31,kg,40.0,50.0,45.0
Okara,2013-10-31,kg,110.0,120.0,115.0
Barela,2013-10-31,kg,20.0,25.0,22.5
Arum,2013-10-31,kg,35.0,40.0,37.5
Christophine,2013-10-31,kg,10.0,15.0,12.5
Brd Leaf Mustard,2013-10-31,kg,45.0,50.0,47.5
Spinach Leaf,2013-10-31,kg,45.0,50.0,47.5
Cress Leaf,2013-10-31,kg,45.0,50.0,47.5
Mustard Leaf,2013-10-31,kg,40.0,45.0,42.5
Fenugreek Leaf,2013-10-31,kg,75.0,80.0,77.5
Onion Green,2013-10-31,kg,80.0,90.0,85.0
Yam,2013-10-31,kg,50.0,60.0,55.0
Mushroom(Kanya),2013-10-31,kg,130.0,140.0,135.0
Asparagus,2013-10-31,kg,350.0,400.0,375.0
Brocauli,2013-10-31,kg,80.0,90.0,85.0
Sugarbeet,2013-10-31,kg,60.0,70.0,65.0
Red Cabbbage,2013-10-31,kg,80.0,90.0,85.0
Lettuce,2013-10-31,kg,55.0,60.0,57.5
Celery,2013-10-31,kg,120.0,130.0,125.0
Parseley,2013-10-31,kg,140.0,150.0,145.0
